Name,GlobalID,LegacyID,CompanyID,NetControllingInterest,NetCapitalInterest,EntryGroupDate,EntryEvent,LeavingGroupDate,LeavingEvent,LEAName,CompanyType,TotalShareCapitalIssued,TotalShareCapitalOwned,Ownership,Status,CountryName,CountryCode,NIType,NICode,ProportionalityLevelName,BusinessLineLevel3Code,BusinessLineLevel3Name,BusinessLineLevel2Code,BusinessLineLevel2Name,RegistrationNumber,LegalEntityIdentifier,RSIN,IncorporationDate,DissolutionDate,AddressStreet,AddressStreet2,AddressNumber,AddressPostalCode,AddressCity,AddressState,AddressCountry,EntityObject,Has403Declaration,LegalEntityType,NACEName,NACECode,PartOfFiscalUnity,VPBCITNumber,CITFiscalUnityNumber,VATFiscalUnityNumber,FATCANumber,FATCAResponsibleOfficer,TaxReportingDate,VATBTWNumber,BusinessActivity_Name,BusinessActivity_Code,IsReporting,DepositGuaranteeSystem,PrudentialConsolidationScope,StrategicEquityInvestment,FinancialSectorEntity,RiskWeight,ReportingEntityIDForConsolidation,Basel2SecurizationVehicle,ABNAMROSoloScopeIndicator,ClearingConsolidationScopeIndicator,ClearingSoloScopeIndicator,HierarchicalLevel,Resolution_Entity,PDCI_Type,PDCI_Guarantor,PDCI_Guarantee_Type,SectorRelation_Name,ClassificationName,IsRegrouping,ConsolidationMethodName,ConsolidationMethodCode,AABGlobalIndustryCodeName,AABGlobalIndustryCode,CurrencyCode,CurrencyName,ReportingEntityName,ReportingEntityGlobalID,ReportingEntityCompanyID,ReportingEntityLegacyID,RegulatedEntity,BankLicense,InsuranceLicense
21 Markets Holding B.V.,678351619,8174,208174,0,0.1,2018-07-25,null,null,null,Arjun Jayasimha,null,20000000000,20000000,Share Capital,null,Netherlands,NL,null,null,Level 1,10627,Private Banking,null,null,64435334,null,null,2018-07-25,null,Kabelweg,null,99,Amsterdam,The Netherlands,null,NETHERLANDS,null,false,Besloten Vennootschap (B.V.),null,null,false,null,null,null,null,null,null,NL855664836B01,null,null,false,false,false,false,false,290% Exchange Traded,208172,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,1,Credit Institution,Beneficial Interest,false,Fair Value,FV,"Financial service activities, except insurance and pension funding",K64,EUR,Euro,ABN AMRO Social Impact Investments B.V.,723630445,208172,8172,false,false,false
4 Better & Worse B.V.,678366535,9766,209766,0,96.000004,2007-11-30,null,null,null,Arjun Jayasimha,null,25000000,24000001,Share Capital,null,Netherlands,NL,null,null,Level 4,10647,Corporate & Institutional Banking,null,null,17214997,null,818746439,2007-11-30,null,Ten Hagestraat,null,5A,5611 EG,Eindhoven,null,NETHERLANDS,null,false,null,null,null,false,8187.46.439,null,null,null,null,null,null,null,null,false,false,false,false,false,null,425055,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,ABN AMRO Jonge Bedrijven Fonds B.V.,689210701,425055,9738,false,false,false
AAA Equity Holdings Limited,624199223,8296,808296,0,100,2008-10-31,null,null,null,Arjun Jayasimha,null,7381007,7381007,Share Capital,null,Virgin Islands (British),VG,null,null,Level 4,10627,Private Banking,null,null,1064268,null,null,2006-11-08,null,Palm Grove House,null,-,-,Road Town,null,"VIRGIN ISLANDS, BRITISH",null,false,null,null,null,false,null,null,null,null,null,null,null,null,null,false,false,false,false,false,null,810327,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,USD,United States Dollar,Bethmann Bank AG,624202704,810327,9752,false,false,false
AAB - Icestar EU-HK-SG - Regrouping,625119444,2899,202899,0,100,1996-12-31,null,null,null,Arjun Jayasimha,Dutch Entity,100000000,100000000,Share Capital,null,Netherlands,NL,LEI,BFXS5XCH7N0Y05NIXW11,null,10647,Corporate & Institutional Banking,null,null,34334259,BFXS5XCH7N0Y05NIXW11,007243108,1986-01-18,null,Gustav Mahlerlaan,null,10,1082 PP,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,0072.43.108,8217.25.774,0079.46.016.B01,null,null,null,NL0072.43.108.B01,null,null,true,false,true,false,false,null,202899,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,AAB - Icestar EU-HK-SG - Regrouping,625119444,202899,2899,false,false,false
AAB - Icestar USA - Regrouping,625119894,8171,208171,0,100,2013-02-25,null,null,null,Arjun Jayasimha,null,100000000,100000000,Share Capital,null,United States,US,LEI,724500INXOK42IJBPG60,null,10647,Corporate & Institutional Banking,null,null,34334529,724500INXOK42IJBPG60,null,2013-02-25,null,Gustav Mahlerlaan,null,10,1082 PP,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,8206.46.660,8217.25.774,0079.46.016.B01,null,null,null,NL8206.46.660.B01,null,null,true,false,true,false,false,null,208171,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,AAB - Icestar USA - Regrouping,625119894,208171,8171,false,false,false
AABNL-BPS US-Regrouping,624187144,8078,528078,0,100,2011-04-01,null,null,null,Arjun Jayasimha,null,100000000,100000000,Share Capital,null,United States,US,null,null,null,10506,Finance,null,null,34334529,null,null,2011-04-01,null,Gustav Mahlerlaan,null,10,1082 PP,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,8206.46.660,8217.25.774,0079.46.016.B01,null,null,null,NL8206.46.660.B01,null,null,true,false,true,false,false,null,528078,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,USD,United States Dollar,AABNL-BPS US-Regrouping,624187144,528078,8078,true,true,false
AAC Capital NEBO NL Feeder B.V.,689493584,8247,208247,0,100,2014-07-01,null,2021-08-01,_1_Merger,Arjun Jayasimha,Dutch Entity,100000000,100000000,Share Capital,null,Netherlands,NL,null,null,Level 4,10647,Corporate & Institutional Banking,null,null,34272816,null,817923767,2007-04-26,null,Gustav Mahlerplein,null,106,1082 MA,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,8179.23.767,8217.25.774,null,null,null,2023-08-09,NL8179.23.767.B01,null,null,false,false,false,false,false,null,204448,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,ABN AMRO Participaties NPE Fund B.V.,625105931,204448,4448,false,false,false
AAC Spanish BOF 2005 B.V.,678351554,8221,208221,0,100,2014-07-01,null,null,null,Arjun Jayasimha,Branch,100000000,100000000,Share Capital,null,Netherlands,NL,null,null,Level 4,10647,Corporate & Institutional Banking,null,null,34223935,null,814654526,2005-05-02,null,Gustav Mahlerplein,null,106,1082 MA,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,8146.54.526,8217.25.774,null,null,null,2024-08-20,NL8146.54.526.B01,null,null,false,false,false,false,false,null,204448,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,ABN AMRO Participaties NPE Fund B.V.,625105931,204448,4448,false,false,false
AACBOF NEBO B.V.,690726791,8220,208220,0,100,2014-07-01,null,null,null,Arjun Jayasimha,null,100000000,100000000,Share Capital,null,Netherlands,NL,null,null,Level 4,10647,Corporate & Institutional Banking,null,null,34303993,null,819543901,2008-06-06,null,Gustav Mahlerplein,null,106,1082 MA,Amsterdam,null,NETHERLANDS,null,false,null,null,null,true,8195.43.901,8217.25.774,null,null,null,null,NL8195.45.901.B01,null,null,false,false,false,false,false,null,204448,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,EUR,Euro,ABN AMRO Participaties NPE Fund B.V.,625105931,204448,4448,false,false,false
AAHG - AA Label- Regrouping,905144201,9644,425131,100,100,2010-02-06,null,null,null,null,null,0,0,Regrouping,null,Netherlands,NL,null,null,null,10009,Retail Banking,null,null,08024285,null,null,2010-02-06,null,Ruimtevaart,null,24,3824 MX,Amersfoort,null,NETHERLANDS,null,false,null,null,null,false,null,null,null,null,null,null,null,null,null,true,false,true,false,false,null,425131,false,false,false,false,null,ABN AMRO Bank N.V.,0,0,0,null,null,false,null,null,null,null,null,null,AAHG - AA Label- Regrouping,905144201,425131,9644,false,false,false
