PD_RATING_ID,COMPANY_ID,RATING_STATUS,RATING_PROVIDING_SYSTEM,PD_MODEL_VERSION,STAND_ALONE_RATING_PD,STAND_ALONE_RATING_UCR,COUNTRY_RISK_ADJUSTED_PD,COUNTRY_RISK_ADJUSTED_UCR,GROUP_SUPPORT_ADJUSTED_PD,GROUP_SUPPORT_ADJUSTED_UCR,L1_OVERRIDE_PD,L1_OVERRIDE_UCR,PROPOSED_PD,PROPOSED_UCR,L2_OVERRIDE_PD,L2_OVERRIDE_UCR,APPROVED_PD,APPROVED_UCR,PD_APPROVAL_DATE,PD_EXPIRY_DATE,FAIR_ID,LBCDB_ID,GBCDB_ID,HREKNR,RAPID_ID,T24_ID,DUNS,GRACE_ID,CS_ID,COUNTRY,PORTFOLIO,BUSINESSLINE,RATING_ID,PARENT_COMPANY_ID,PARENT_REVIEW_RATING_ALERT,SOVEREIGN_RATING_REVIEW_ALERT,FINANCIAL_FIG_OUTDATED_ALERT,PD_INCLUDING_CONSERVATISM,UCR_INCLUDING_CONSERVATISM,TYPE_OF_CONSERVATISM,MARGIN_OF_CONSERVATISM,PD_FLOORED,PROPOSER,APPROVER,LB_RATING_ID,LastPerformingModel
1249712,645370,ACTUAL,FAI,PGCRWW03,1.65,4-,1.65,4-,1.65,4-,null,null,1.65,4-,null,null,1.65,4-,2023-10-17 11:00:33,2024-10-17 11:00:33,5402005410721,2005410721,null,427277388,null,null,null,null,null,NL,Bedrijven Regio Zuid West,Merchant Banking,2755927,null,NO,NO,NO,26.592,6+,RATING_OUTDATED,1.108,N,c54962,c48274,null,PGCRWW03
1272387,638074,ACTUAL,FAI,PBNKWW09,0.16,3+,0.16,3+,0.16,3+,null,null,0.16,3+,null,null,0.16,3+,2024-04-26 10:55:46,2025-04-26 10:55:46,5402026145229,2026145229,355531224,null,123160B,null,null,null,null,GB,C&IB FI Infrastructure,Merchant Banking,2834891,null,NO,NO,NO,0.3047,3,RATING_OUTDATED,1.2188,N,lu1299,crcapdapp,null,PBNKWW09
1296008,303844,ACTUAL,FAI,PLCRWW04,0.36,3-,0.36,3-,0.36,3-,null,null,0.36,3-,null,null,0.36,3-,2024-12-17 15:20:48,2025-12-17 15:20:48,540112946984,112946984,null,null,null,null,null,null,303844,NL,CIB Corporate Lending EMEA,Merchant Banking,2894153,388792,NO,NO,NO,0.6566,3-,NO_CONSERVATISM,1.824,N,ba5696,crcapdapp,null,PLCRWW04
471559,145187,ACTUAL,INC,PDFTWW01,100,7,100,7,100,7,null,null,100,7,null,null,100,7,2012-05-07 00:00:00,2099-12-31 00:00:00,540194783243,194783243,null,644530979,null,null,405086539,null,null,NL,null,null,659667,null,NO,NO,NO,null,null,null,null,null,null,null,null,null
1310055,386968,ACTUAL,FAI,PLCRWW04,0.36,3-,0.36,3-,0.36,3-,null,null,0.36,3-,null,null,0.36,3-,2025-05-14 10:58:14,2026-05-14 00:00:00,540198487754,198487754,null,null,null,null,null,705727,null,NL,CIB Corporate Lending EMEA,Merchant Banking,2955492,386967,NO,NO,NO,0.6566,3-,NO_CONSERVATISM,1.824,N,crcapdapp,crcapdapp,null,PLCRWW04
1269237,645745,ACTUAL,FAI,PGCRWW03,1,4,1,4,1,4,null,null,1,4,null,null,1,4,2024-03-19 12:05:59,2025-03-19 12:05:59,5402051144648,2051144648,null,null,69863BR,null,null,null,null,NL,CIB CFB T&L Transportation N Europe,Merchant Banking,2823387,72729,NO,NO,NO,1.8282,4-,RATING_OUTDATED,1.108,N,b17437,rapid,null,PGCRWW03
1297349,391538,ACTUAL,FAI,PPRIWW07,1,4,1,4,1,4,null,null,1,4,null,null,1,4,2024-12-24 17:34:29,2025-12-24 17:34:29,50977660A,null,null,null,77660A,null,null,null,null,FR,PC France Banque Neuflize OBC,Merchant Banking,2905313,null,NO,NO,NO,1.072,4,NO_CONSERVATISM,1.072,N,b13609,rapid,null,PPRIWW07
1311119,631410,ACTUAL,FAIR,PDFTWW01,null,null,null,null,null,null,null,null,null,null,null,null,100,6,2025-05-26 00:00:00,2099-12-31 00:00:00,5402033218457,2033218457,null,null,null,null,null,null,null,DE,CIB Corporate Lending EMEA,Merchant Banking,2959239,null,NO,NO,NO,null,null,null,null,null,null,null,null,PLCRWW04
1287838,624680,ACTUAL,FAI,PIBKWW08,0.25,3,0.25,3,0.25,3,null,null,0.25,3,null,null,0.25,3,2024-10-21 13:47:04,2025-10-21 13:47:04,5402027522263,2027522263,370916107,null,100022L,null,null,null,null,DE,C&IB FI Infrastructure,Merchant Banking,2886155,null,NO,NO,NO,0.277,3,NO_CONSERVATISM,1.108,N,c24615,crcapdapp,null,PIBKWW08
1295832,650510,ACTUAL,FAI,PDCRNL07,12,5-,12,5-,12,5-,null,null,12,5-,null,null,12,5-,2024-12-16 15:29:41,2025-12-16 15:29:41,904650510,null,null,null,null,null,null,null,650510,NL,ABN AMRO Commercial Finance,Merchant Banking,2892285,null,NO,NO,NO,15.888,5-,NO_CONSERVATISM,1.324,N,x62285,he5712,null,PDCRNL07
