LB_RATING_ID,DATA_TYPE,STATEMENT_TYPE,FITCH_ID,DATE_BALANCE,CURRENT_FINANCIAL_DATA_ID,CURRENCY_ISO,BALANCE_UNIT,CONSOL_DEGREE,ACC_METHOD,TOTAL_ASSETS,TOTAL_ASSETS_PREV_YEAR,CURRENT_EQUITY,EQUITY_PREV_YEAR,ALLOC_CREDIT,PROV_CREDIT,GENERAL_ADMIN_EFFORT,NET_INTEREST_YIELD,OTHER_OPERATING_INCOME,ANNUAL_NET_PROFIT,FX_RATE_EUR_LBR,FX_RATE_EUR_LBR_DATE,FX_RATE_EUR_ANALYST,CUSTOMER_DEPOSITS,TOTAL_ASSETS_2YEARS_AGO,DEACTIVATE_LTD,COM_DEACTIVATE_LTD,NET_PROFIT_PREV,NET_PROFIT_2_AGO,CPI,BALANCE_SHEET_MODIFIED,INCOME_STATEMENT_MODIFIED
666100_100843,1,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,111954#10814842#C,TRY,Thousand,Fully consolidated,National accounting law,2201.713095,1303.578483,245.621518,153.12412,1208.225829,51.365893,53.201599,86.471091,84.519237,86.907216,null,null,null,1602.608112,850.4756,0,null,58.510306,13.587564,null,0,0
666100_100843,2,ORIGINAL_IMPORT,111954,2023-12-31T00:00:00Z,111954#10814842#C,TRY,Million,Fully consolidated,National accounting law,67.4604892308,39.94164471912,7.52584331152,4.6917230368,37.02003940056,1.57385096152,1.63009699336,2.64947422824,2.58966942168,2.66283709824,0.03063921678808478,2023-12-31T00:00:00Z,0.03064,49.10391255168,26.058572384,0,null,1.79275577584,0.41632296096,124.1,0,0
666100_100844,1,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,1047191#10819464#C,EUR,Million,Fully consolidated,IFRS,198.241,207.057,19.849,18.764,99.434,2.884,5.072,5.718,3.288,2.578,null,null,null,118.584,192.101,0,null,3.797,1.508,null,0,0
666100_100844,2,ORIGINAL_IMPORT,1047191,2023-12-31T00:00:00Z,1047191#10819464#C,EUR,Million,Fully consolidated,IFRS,198.241,207.057,19.849,18.764,99.434,2.884,5.072,5.718,3.288,2.578,1,2023-12-31T00:00:00Z,1,118.584,192.101,0,null,3.797,1.508,124.1,0,0
666100_100847,1,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,107471#10831669#U,BRL,Million,Not consolidated,National accounting law,2008.271,1795.9343,141.564,129.4985,435.518,28.428,38.245,55.267,24.559,28.335,null,null,null,797.879,1535.8304,0,null,27.4054,20.8617,null,0,0
666100_100847,2,ORIGINAL_IMPORT,107471,2023-12-31T00:00:00Z,107471#10831669#U,BRL,Million,Not consolidated,National accounting law,374.96427841,335.318893153,26.43141444,24.178664935,81.31556578,5.30779188,7.14072395,10.31890157,4.58541089,5.29042785,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,148.97198809,286.754893984,0,null,5.116862234,3.895088007,124.1,0,0
666100_100849,1,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,107466#10819495#C,BRL,Million,Fully consolidated,IFRS,2153.8785,2008.1686,173.5703,163.5178,911.2812,52.762,66.998,88.7487,44.5453,33.1656,null,null,null,811.9438,1899.3405,0,null,30.0012,19.7229,null,0,0
666100_100849,2,ORIGINAL_IMPORT,107466,2023-12-31T00:00:00Z,107466#10819495#C,BRL,Million,Fully consolidated,IFRS,402.150654735,374.945159306,32.407310713,30.530408438,170.145312852,9.85119302,12.50919658,16.570269777,8.317052963,6.192349176,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,151.598026898,354.625864755,0,null,5.601524052,3.682462659,124.1,0,0
666100_100850,1,ORIGINAL_IMPORT,null,2023-12-31T00:00:00Z,107444#10818219#C,BRL,Million,Fully consolidated,IFRS,1927.5232,1792.2888,167.0141,160.0108,579.5018,50.1849,60.0505,55.0824,47.2935,14.5028,null,null,null,621.9347,1675.5722,0,null,21.4568,23.3808,null,0,0
666100_100850,2,ORIGINAL_IMPORT,107444,2023-12-31T00:00:00Z,107444#10818219#C,BRL,Million,Fully consolidated,IFRS,359.887856672,334.638241848,31.183202611,29.875616468,108.198781078,9.370022679,11.212028855,10.284434904,8.830169385,2.707817788,0.18671259796576622,2023-12-31T00:00:00Z,0.18671,116.121427837,312.846085462,0,null,4.006199128,4.365429168,124.1,0,0
