RatingID,FAIR_Turnover,RDF_Turnover,TurnoverSource,MatchStatus
2744074,129511000,130536000,Direct,MISMATCH
2785908,9734000,7877000,Direct,MISMATCH
2867114,18782000,23793000,Direct,MISMATCH
2887321,5840000,6323000,Direct,MISMATCH
2900587,35400000,34018000,Direct,MISMATCH
2903734,14891000,12825000,Direct,MISMATCH
2915986,10647000,9468000,Direct,MISMATCH
2925276,9242000,9106000,Direct,MISMATCH
2929495,8665000,10390000,Direct,MISMATCH
2939535,21046000,19537000,Direct,MISMATCH
2941474,35923000,46395000,Direct,MISMATCH
2946403,5147000,4867000,Direct,MISMATCH
2950375,65617000,58944000,Direct,MISMATCH
2854141,9814000,8597000,Direct,MISMATCH
2854433,2.5120000000000003E8,251200000,LBR,MISMATCH
2870098,42818382884.1345,43959087983.8191,Direct,MISMATCH
2871227,58276000,22703000,Direct,MISMATCH
2889371,4037101232.02323,6351791530.94462,Direct,MISMATCH
2898007,14119000,17985000,Direct,MISMATCH
2898791,217281333.33333334,403194000,Direct,MISMATCH
