Source_Table,LB_RATING_ID,Length,Trimmed_Length,Pattern
UCR_ACTUAL,666100_101234,13,13,Has_Underscore
UCR_ACTUAL,666100_101681,13,13,Has_Underscore
UCR_ACTUAL,666100_101803,13,13,Has_Underscore
UCR_ACTUAL,666100_100875,13,13,Has_Underscore
UCR_ACTUAL,666100_101782,13,13,Has_Underscore
UCR_ACTUAL,666100_101704,13,13,Has_Underscore
UCR_ACTUAL,666100_101779,13,13,Has_Underscore
UCR_ACTUAL,666100_101258,13,13,Has_Underscore
UCR_ACTUAL,666100_101209,13,13,Has_Underscore
UCR_ACTUAL,666100_100937,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100843,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100844,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100847,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100849,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100850,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100851,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100852,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100854,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100855,13,13,Has_Underscore
LBR_QUANTITATIVE,666100_100857,13,13,Has_Underscore
